Treatment,nct_id,ID,COVID-19 status,Patient setting,Outcome,Size
mAb,NCT04275414,NCT04275414,Confirmed,Hospital,"Mortality, Dyspnea, C-Reactive Protein, PaO2-FiO2, SpO2, Radiographic Findings",27
HCQ + AZT + Zinc + Vitamins,NCT04395768,NCT04395768,Confirmed,Unclear,"Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO, Renal Outcome (Unspecified)",200
"Non-invasive respiratory support, Standard of care",NCT04383002,NCT04383002,Confirmed,ICU,NA,20
"Other, Standard of care",NCT04478071,NCT04478071,Confirmed,Hospital,"Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",300
"Other, Standard of care",NCT04461340,NCT04461340,Confirmed,"Hospital, Unclear","Mortality, ICU Admission, Hospitalization, Viral Load or Clearance, Adverse Events",40
"Anticoagulants, Standard of care",NCT04483830,NCT04483830,Suspected,Outpatient,Invasive Mechanical Ventilation or ECMO,243
"HCQ, HCQ + AZT",NCT04390594,NCT04390594,Confirmed,Hospital,"Hospitalization, Viral Load or Clearance, Organ Failure or Dysfunction (SOFA), Serious Adverse Events",186
Stem cells,NCT04276987,NCT04276987,Confirmed,Hospital,"Mortality, ICU Admission, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Adverse Events, C-Reactive Protein, IL-1, IL-2, IL-6, IL-8, D-Dimer, LDH, Radiographic Findings",24
"Antiretroviral + Dexamethasone, Other, Other + Antiretroviral, Other + Dexamethasone",NCT04452565,NCT04452565,Confirmed,Hospital,Fever,525
"Antiretroviral + Dexamethasone, Other, Other + Antiretroviral, Other + Dexamethasone",NCT04452565,NCT04452565,Confirmed,Hospital,Fever,525
"Antiretroviral + Dexamethasone, Other, Other + Antiretroviral, Other + Dexamethasone",NCT04452565,NCT04452565,Confirmed,Hospital,Fever,525
"Antiretroviral + Dexamethasone, Other, Other + Antiretroviral, Other + Dexamethasone",NCT04452565,NCT04452565,Confirmed,Hospital,Fever,525
"Antiretroviral + Dexamethasone, Other, Other + Antiretroviral, Other + Dexamethasone",NCT04452565,NCT04452565,Confirmed,Hospital,Fever,525
"Antiretroviral + Dexamethasone, Other, Other + Antiretroviral, Other + Dexamethasone",NCT04452565,NCT04452565,Confirmed,Hospital,Fever,525
"Antiretroviral + Dexamethasone, Other, Other + Antiretroviral, Other + Dexamethasone",NCT04452565,NCT04452565,Confirmed,Hospital,Fever,525
"Antiretroviral + Dexamethasone, Other, Other + Antiretroviral, Other + Dexamethasone",NCT04452565,NCT04452565,Confirmed,Hospital,Fever,525
"Antiretroviral + Dexamethasone, Other, Other + Antiretroviral, Other + Dexamethasone",NCT04452565,NCT04452565,Confirmed,Hospital,Fever,525
"Antiretroviral + Dexamethasone, Other, Other + Antiretroviral, Other + Dexamethasone",NCT04452565,NCT04452565,Confirmed,Hospital,Fever,525
"Antiretroviral + Dexamethasone, Other, Other + Antiretroviral, Other + Dexamethasone",NCT04452565,NCT04452565,Confirmed,Hospital,Fever,525
"Antiretroviral + Dexamethasone, Other, Other + Antiretroviral, Other + Dexamethasone",NCT04452565,NCT04452565,Confirmed,Hospital,Fever,525
"Antiretroviral + Dexamethasone, Other, Other + Antiretroviral, Other + Dexamethasone",NCT04452565,NCT04452565,Confirmed,Hospital,Fever,525
Hygiene,NCT04537962,NCT04537962,Confirmed,"Hospital, ICU","Hospitalization, Viral Load or Clearance",70
"Other, Standard of care",NCT04405999,NCT04405999,Healthy,Healthcare Workers,NA,50
"Nutrition, Standard of care",NCT04466657,NCT04466657,Confirmed,Hospital,"Mortality, Hospitalization, Clinical Improvement Score (Any)",90
"Nutrition, Standard of care",NCT04466657,NCT04466657,Confirmed,Hospital,"Mortality, Hospitalization, Clinical Improvement Score (Any)",90
"Nutrition, Standard of care",NCT04466657,NCT04466657,Confirmed,Hospital,"Mortality, Hospitalization, Clinical Improvement Score (Any)",90
"HCQ, LPV/r",NCT04364022,NCT04364022,NA,Healthy Exposed,NA,300
"Other, Standard of care",NCT04536363,NCT04536363,Confirmed,Hospital,"Mortality, ICU Admission, Invasive Mechanical Ventilation or ECMO, Hypoxemia",284
"AZT, HCQ",NCT04329832,NCT04329832,Confirmed Or Suspected,Hospital,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",85
"Ivermectin, Standard of care",NCT04431466,NCT04431466,Confirmed,Unclear,"Clinical Improvement Score (Any), Viral Load or Clearance",64
"HCQ, Standard of care",NCT04363450,NCT04363450,NA,Healthcare Workers,Labor Absenteeism,1700
"Antivirals, Standard of care",NCT04523090,NCT04523090,Confirmed,Outpatient,"Mortality, Viral Load or Clearance, Non-invasive Ventilation, Cough",960
"IFN, Standard of care",NCT04534673,NCT04534673,Confirmed,Hospital,"Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Adverse Events",40
Plasma based therapy,NCT04472572,NCT04472572,Confirmed,Hospital,NA,
"Other, Standard of care",NCT04389411,NCT04389411,Confirmed,Unclear,"Mortality, ICU Admission, Hospitalization, Visits or Returns to Emergency Department",600
"Plasma based therapy, Standard of care",NCT04521036,NCT04521036,Confirmed,Hospital,"Mortality, Invasive Mechanical Ventilation or ECMO, Treatment-emergent Adverse Events",44
Vaccine,NCT04528641,NCT04528641,Healthy,Healthy Unexposed,"Albumin, LDH, Renal Outcome (Unspecified)",90
Vaccine,NCT04528641,NCT04528641,Healthy,Healthy Unexposed,"Albumin, LDH, Renal Outcome (Unspecified)",90
"Ivermectin, Standard of care",NCT04530474,NCT04530474,Suspected,Outpatient,Clinical Improvement Score (Any),200
"DAA, Oseltamivir + HCQ + AZT",NCT04530422,NCT04530422,Confirmed,Unclear,"Mortality, Hospitalization",250
"Other, Standard of care",NCT04500418,NCT04500418,Confirmed,"Outpatient, Hospital","Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Adverse Events, Serious Adverse Events, Monocyte Count, Neutrophils, Platelet Count, Hemoglobin, ALT, AST, Bilirubin, Glucose, ECG",183
"FPV + Other, Other",NCT04527133,NCT04527133,Confirmed,Hospital,"Hospital Discharge, Fever, C-Reactive Protein, D-Dimer, Fibrinogen, INR, Radiographic Findings",30
"Plasma based therapy, Standard of care",NCT04388410,NCT04388410,Confirmed,Hospital,"Mortality, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Fever, Adverse Events, Antibodies",410
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
"HCQ, HCQ + NRTIs, NRTIs, Standard of care",NCT04334928,NCT04334928,Healthy,Healthcare Workers,"ICU Admission, Hospital Discharge, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious or Seconday Infections, Organ Failure or Dysfunction (SOFA), Adverse Events, Serious Adverse Events, C-Reactive Protein, Ferritin, IL-6",4000
Rehabilitation,NCT04505761,NCT04505761,Resolved,Resolved Discharged,"Other Mild Symptoms, 6-Minute Walking Distance",40
"Inhaled solution + Other, Standard of care",NCT04445285,NCT04445285,Confirmed Or Suspected,Unclear,"Mortality, ICU Admission, Hospitalization",44
"Anticoagulants, Other, Standard of care",NCT04473053,NCT04473053,Confirmed,"Outpatient, Hospital","Hospital Discharge, Viral Load or Clearance, Adverse Events, Coagulation Test, SpO2, Renal Outcome (Unspecified)",60
Plasma based therapy,NCT04374565,NCT04374565,Confirmed,Hospital,"Mortality, ICU Admission, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Serious Adverse Events, Antibodies, Renal Outcome (Unspecified)",29
"Other, Standard of care",NCT04481685,NCT04481685,Confirmed,Hospital,"Mortality, Pneumonia or ARDS, Fever, Serious Adverse Events, IL-1, IL-8, Tumor Necrosis Factor (Any), SpO2, Distress",36
"Antihypertensive, Standard of care",NCT04401423,NCT04401423,Confirmed,Hospital,"Non-invasive Ventilation, Renal Outcome (Unspecified)",100
LPV/r + IFN,NCT04521400,NCT04521400,Confirmed,Hospital,"Mortality, Hospitalization, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, SpO2",100
Plasma based therapy,NCT04516954,NCT04516954,Confirmed,Hospital,NA,10
"mAb, Standard of care",NCT04343651,NCT04343651,NA,Unclear,"Mortality, Hospitalization, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Adverse Events, Natural Killer Cell Count, CD4, CD8, SpO2, Radiographic Findings",86
"mAb, Standard of care",NCT04343651,NCT04343651,NA,Unclear,"Mortality, Hospitalization, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Adverse Events, Natural Killer Cell Count, CD4, CD8, SpO2, Radiographic Findings",86
"mAb, Standard of care",NCT04343651,NCT04343651,NA,Unclear,"Mortality, Hospitalization, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Adverse Events, Natural Killer Cell Count, CD4, CD8, SpO2, Radiographic Findings",86
"mAb, Standard of care",NCT04343651,NCT04343651,NA,Unclear,"Mortality, Hospitalization, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Adverse Events, Natural Killer Cell Count, CD4, CD8, SpO2, Radiographic Findings",86
"mAb, Standard of care",NCT04343651,NCT04343651,NA,Unclear,"Mortality, Hospitalization, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Adverse Events, Natural Killer Cell Count, CD4, CD8, SpO2, Radiographic Findings",86
"mAb, Standard of care",NCT04343651,NCT04343651,NA,Unclear,"Mortality, Hospitalization, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Adverse Events, Natural Killer Cell Count, CD4, CD8, SpO2, Radiographic Findings",86
"mAb, Standard of care",NCT04343651,NCT04343651,NA,Unclear,"Mortality, Hospitalization, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Adverse Events, Natural Killer Cell Count, CD4, CD8, SpO2, Radiographic Findings",86
"mAb, Standard of care",NCT04343651,NCT04343651,NA,Unclear,"Mortality, Hospitalization, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Adverse Events, Natural Killer Cell Count, CD4, CD8, SpO2, Radiographic Findings",86
"mAb, Standard of care",NCT04343651,NCT04343651,NA,Unclear,"Mortality, Hospitalization, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Adverse Events, Natural Killer Cell Count, CD4, CD8, SpO2, Radiographic Findings",86
"HCQ, Standard of care",NCT04353271,NCT04353271,NA,Outpatient,"Mortality, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Anti SARS-COV-2 Titers, Antibodies",58
"Standard of care, Stem cells",NCT04288102,NCT04288102,Confirmed,Hospital,"Hospitalization, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Treatment-emergent Adverse Events, CD4, PaO2-FiO2, Radiographic Findings",100
"Device, Vaccine + Device",NCT04447781,NCT04447781,Healthy,Healthy Unexposed,NA,160
"Device, Vaccine + Device",NCT04447781,NCT04447781,Healthy,Healthy Unexposed,NA,160
"NRTIs, Standard of care",NCT04519125,NCT04519125,Healthy,Healthcare Workers,Serious Adverse Events,950
"Antihypertensive, Standard of care",NCT04332666,NCT04332666,Confirmed Or Suspected,ICU,"ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO, Deep Vein Thrombosis or Pulmonary Embolism, Serious Adverse Events, IL-1, IL-2, IL-6, IL-7, IL-8, IL-10, Tumor Necrosis Factor (Any), Interferon (Any), Angiotensins, PaO2-FiO2, Radiographic Findings",60
"Other, Standard of care",NCT04508985,NCT04508985,Confirmed,Hospital,NA,40
"Alternative therapy, Standard of care",NCT04394208,NCT04394208,Confirmed,Hospital,"Hospitalization, Clinical Improvement Score (Any), Invasive Mechanical Ventilation or ECMO, Adverse Events",50
"Antivirals, Standard of care",NCT04392219,NCT04392219,Healthy,Healthy Unexposed,Adverse Events,130
Plasma based therapy,NCT04332380,NCT04332380,Confirmed,Hospital,"Mortality, ICU Admission, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, IgG, IgM or IgA",10
"mAb, Standard of care",NCT04415073,NCT04415073,Confirmed,Hospital,"Hospitalization, Clinical Improvement Score (Any)",186
"mAb, Standard of care",NCT04415073,NCT04415073,Confirmed,Hospital,"Hospitalization, Clinical Improvement Score (Any)",186
"Dexamethasone, Standard of care",NCT04327401,NCT04327401,Confirmed Or Suspected,Unclear,"Mortality, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",299
"Dexamethasone, Standard of care",NCT04327401,NCT04327401,Confirmed Or Suspected,Unclear,"Mortality, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",299
"Dexamethasone, Standard of care",NCT04327401,NCT04327401,Confirmed Or Suspected,Unclear,"Mortality, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",299
"Dexamethasone, Standard of care",NCT04327401,NCT04327401,Confirmed Or Suspected,Unclear,"Mortality, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",299
"Dexamethasone, Standard of care",NCT04327401,NCT04327401,Confirmed Or Suspected,Unclear,"Mortality, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",299
"Dexamethasone, Standard of care",NCT04327401,NCT04327401,Confirmed Or Suspected,Unclear,"Mortality, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",299
"Dexamethasone, Standard of care",NCT04327401,NCT04327401,Confirmed Or Suspected,Unclear,"Mortality, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",299
"Dexamethasone, Standard of care",NCT04327401,NCT04327401,Confirmed Or Suspected,Unclear,"Mortality, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",299
"Dexamethasone, Standard of care",NCT04327401,NCT04327401,Confirmed Or Suspected,Unclear,"Mortality, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",299
"FPV, Standard of care",NCT04501783,NCT04501783,Confirmed,"Outpatient, Hospital","Clinical Improvement Score (Any), Viral Load or Clearance, Fever, Radiographic Findings",168
"FPV, Standard of care",NCT04501783,NCT04501783,Confirmed,"Outpatient, Hospital","Clinical Improvement Score (Any), Viral Load or Clearance, Fever, Radiographic Findings",168
"Other, Standard of care",NCT04391712,NCT04391712,Confirmed,Unclear,"C-Reactive Protein, IL-6, Radiographic Findings",10
"HCQ, Standard of care",NCT04408456,NCT04408456,Healthy,Healthy Unexposed,NA,325
"Positioning, Standard of care",NCT04477655,NCT04477655,Confirmed,Unclear,"Mortality, ICU Admission, Invasive Mechanical Ventilation or ECMO, Patient Positioning",200
"HCQ, Standard of care",NCT04384380,NCT04384380,Confirmed,Unclear,"Adverse Events, Radiographic Findings",33
Plasma based therapy,NCT04389944,NCT04389944,Confirmed,Hospital,"Mortality, ICU Admission, Hospital Discharge, Serious Adverse Events",15
NA,NCT04337541,NCT04337541,Healthy,"Healthcare Workers, Outpatient","Viral Load or Clearance, Antibodies",6000
"HCQ, Standard of care",NCT04329611,NCT04329611,Confirmed,Outpatient,"Mortality, Hospitalization, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO",148
NA,NCT04345289,NCT04345289,NA,Hospital,"Mortality, Hospitalization, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",1100
"Ivermectin + ARBs, Standard of care",NCT04447235,NCT04447235,Confirmed Or Suspected,Unclear,Adverse Events,176
"Plasma based therapy, Standard of care",NCT04356534,NCT04356534,NA,Hospital,"Mortality, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, C-Reactive Protein, Ferritin, White Blood Cell Count, D-Dimer, Troponin, Procalcitonin, LDH, Radiographic Findings",40
"ARBs, AZT, HCQ",NCT04359953,NCT04359953,NA,Hospital,"Mortality, ICU Admission, Clinical Improvement Score (Any), Viral Load or Clearance, Pneumonia or ARDS, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Cough, Fever, Dyspnea",1600
"HCQ, JAKi, LPV/r, Sarilumab",NCT04321993,NCT04321993,Confirmed,Hospital,"Mortality, Hospitalization, Clinical Improvement Score (Any), Pneumonia or ARDS, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, Organ Failure or Dysfunction (SOFA), Adverse Events, SpO2, Distress",800
"Anticoagulants, Anticoagulants + Corticosteroids, Corticosteroids, Standard of care",NCT04485429,NCT04485429,Confirmed,Unclear,"Mortality, ICU Admission, Hospitalization, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)",268
"HCQ, Standard of care",NCT04438837,NCT04438837,Healthy,"Healthy Exposed, Healthcare Workers","Mortality, ICU Admission, Hospitalization, Pneumonia or ARDS, Adverse Events",582
"Plasma based therapy, Standard of care",NCT04480632,NCT04480632,Confirmed,ICU,"Mortality, Adverse Events, Renal Outcome (Unspecified)",44
Radiation therapy,NCT04377477,NCT04377477,Confirmed,Unclear,"ICU Admission, Hospitalization, Adverse Events, Radiographic Findings",30
TCZ,NCT04423042,NCT04423042,Confirmed Or Suspected,Hospital,Mortality,30
"Other, Standard of care",NCT04393038,NCT04393038,Confirmed,"Outpatient, Hospital","Hospitalization, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Adverse Events, C-Reactive Protein, D-Dimer, Troponin",1034
"Other, Standard of care",NCT04393038,NCT04393038,Confirmed,"Outpatient, Hospital","Hospitalization, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Adverse Events, C-Reactive Protein, D-Dimer, Troponin",1034
"Other, Standard of care",NCT04393038,NCT04393038,Confirmed,"Outpatient, Hospital","Hospitalization, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Adverse Events, C-Reactive Protein, D-Dimer, Troponin",1034
"Other, Standard of care",NCT04393038,NCT04393038,Confirmed,"Outpatient, Hospital","Hospitalization, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Adverse Events, C-Reactive Protein, D-Dimer, Troponin",1034
"Other, Standard of care",NCT04393038,NCT04393038,Confirmed,"Outpatient, Hospital","Hospitalization, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Adverse Events, C-Reactive Protein, D-Dimer, Troponin",1034
"Other, Standard of care",NCT04393038,NCT04393038,Confirmed,"Outpatient, Hospital","Hospitalization, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Adverse Events, C-Reactive Protein, D-Dimer, Troponin",1034
"Other, Standard of care",NCT04393038,NCT04393038,Confirmed,"Outpatient, Hospital","Hospitalization, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Adverse Events, C-Reactive Protein, D-Dimer, Troponin",1034
"Other, Standard of care",NCT04393038,NCT04393038,Confirmed,"Outpatient, Hospital","Hospitalization, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Adverse Events, C-Reactive Protein, D-Dimer, Troponin",1034
"Other, Standard of care",NCT04393038,NCT04393038,Confirmed,"Outpatient, Hospital","Hospitalization, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Adverse Events, C-Reactive Protein, D-Dimer, Troponin",1034
"Other, Standard of care",NCT04393038,NCT04393038,Confirmed,"Outpatient, Hospital","Hospitalization, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Adverse Events, C-Reactive Protein, D-Dimer, Troponin",1034
"Other, Standard of care",NCT04393038,NCT04393038,Confirmed,"Outpatient, Hospital","Hospitalization, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Adverse Events, C-Reactive Protein, D-Dimer, Troponin",1034
